ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,19,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,8,0,0,0,0,0
10004,19,0,11,0,17,0,9,0,0,0
10005,9,32,0,0,0,0,0,16,30,0
10006,0,10,5,22,0,24,0,11,0,0
10007,10,10,0,21,4,6,15,19,15,0
10008,0,0,0,0,23,0,0,0,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0,17,0
10011,0,0,5,0,0,0,0,8,0,11
10012,0,0,0,0,0,0,0,0,0,0
10013,9,0,0,5,23,6,21,13,13,11
10014,18,18,18,18,18,18,18,18,18,18
10015,14,14,14,14,14,14,14,14,14,14
10016,0,32,0,0,0,0,19,0,0,0
10017,19,19,19,19,19,19,19,19,19,19
10018,35,0,0,0,28,0,0,4,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,18,18,18,18,18,18,18,18,18,18
10022,16,16,16,16,16,16,16,16,16,16
10023,0,0,17,0,0,0,0,0,0,0
10024,0,0,0,0,0,11,0,0,0,0
10025,6,14,18,5,13,17,13,14,9,21
10026,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,10,0,0,0,0
10028,0,0,0,0,0,0,0,0,0,0
10029,28,28,28,28,28,28,28,28,28,28
10030,32,32,32,32,32,32,32,32,32,32
10031,0,0,0,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0
10033,36,9,9,6,19,13,11,0,14,14
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,32,12,19,0,11,0,12
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,5,5,5,5,5,5,5,5,5,5
10040,0,0,0,0,0,0,0,0,0,0
10041,40,40,40,40,40,40,40,40,40,40
10042,0,0,0,16,17,0,13,0,0,0
10043,27,0,17,14,0,12,0,14,0,0
10044,0,10,0,0,9,0,0,18,0,0
10045,0,0,0,0,19,0,0,0,21,9
10046,0,0,0,0,0,0,0,0,0,0
10047,5,5,5,5,5,5,5,5,5,5
10048,20,20,20,20,20,20,20,20,20,20
10049,0,0,0,0,0,0,0,0,0,0
10050,17,0,0,0,0,16,0,9,0,0
10051,25,25,25,25,25,25,25,25,25,25
10052,0,15,0,24,8,3,0,18,0,28
10053,30,0,0,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,0,0,0
10056,22,22,22,22,22,22,22,22,22,22
10057,17,17,17,17,17,17,17,17,17,17
10058,0,0,0,15,14,23,25,0,12,0
10059,2,32,0,0,9,19,0,0,0,21
10060,0,0,0,0,0,0,0,0,0,0
10061,0,14,0,0,0,0,0,0,0,0
10062,0,0,0,0,0,0,0,0,0,0
10063,15,33,0,4,28,17,0,0,0,30
10064,0,0,0,0,0,0,0,0,0,0
10065,21,21,21,21,21,21,21,21,21,21
10066,20,13,0,0,13,13,2,0,36,10
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,0,0,0,0,0,0,0,0
10071,0,0,0,0,0,0,0,0,0,0
10072,0,0,0,0,0,0,0,0,0,0
10074,0,0,0,0,0,0,0,0,0,0
10075,0,0,0,0,0,0,0,0,0,0
10076,21,21,21,21,21,21,21,21,21,21
10077,13,6,18,0,7,4,10,12,5,29
10078,0,0,0,0,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,0,0
10080,13,20,14,24,23,16,31,5,11,27
10081,0,0,0,5,0,0,0,0,0,15
10082,0,0,0,0,0,0,0,0,0,0
10083,18,18,18,13,25,25,25,23,8,19
10084,0,0,17,0,18,0,0,0,0,0
10085,12,12,12,12,12,12,12,12,12,12
10086,12,0,0,0,0,16,0,0,0,0
10087,0,0,0,0,0,0,0,10,0,0
10088,0,0,9,0,0,0,0,6,0,0
10089,0,0,0,0,0,0,0,0,0,0
10090,14,0,0,0,0,17,0,0,0,0
10091,0,0,0,0,0,0,0,0,0,0
10092,19,19,19,19,19,19,19,19,19,19
10093,0,0,0,0,0,0,0,0,0,0
10094,16,0,20,0,0,0,0,0,0,0
10095,0,0,0,0,0,0,0,0,0,0
10096,14,9,0,0,6,0,0,10,0,0
10097,29,16,17,0,0,21,32,0,4,11
10098,0,0,0,0,0,0,0,0,0,0
10099,0,0,0,0,0,0,0,0,0,0
10100,0,29,0,0,0,0,0,0,0,0
10101,24,24,24,24,24,24,24,24,24,24
10102,0,0,0,0,0,0,0,0,0,0
10103,25,25,25,25,25,25,25,25,25,25
10104,21,21,21,21,21,21,21,21,21,21
10105,29,29,29,29,29,29,29,29,29,29
10107,3,3,3,3,3,3,3,3,3,3
10108,0,0,0,0,0,0,0,0,0,0
10109,0,0,0,0,0,0,0,0,0,0
10110,15,15,15,15,15,15,15,15,15,15
10111,0,0,0,0,0,0,0,8,0,0
10112,0,0,5,0,0,0,0,0,0,0
10113,0,0,0,0,14,0,0,0,0,0
10114,0,0,0,13,0,0,0,0,0,0
10115,10,10,10,10,10,10,10,10,10,10
10116,0,0,0,0,0,0,0,0,0,0
10117,0,0,0,14,0,22,0,3,26,0
10118,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,13,0,0,0
10120,18,18,18,18,18,18,18,18,18,18
10121,19,0,16,22,12,21,11,0,16,9
10122,15,15,15,15,15,15,15,15,15,15
10123,0,0,0,0,0,0,0,0,0,0
10124,0,0,0,0,12,12,9,0,25,0
10125,14,11,0,12,7,22,9,12,12,0
10126,0,0,0,16,0,0,10,0,0,0
10127,0,0,0,0,15,0,0,0,0,26
10128,0,0,0,0,0,0,0,0,0,0
10129,0,0,0,0,0,0,0,0,0,0
10130,13,0,0,0,0,0,0,0,0,0
10131,1,1,1,1,1,1,1,1,1,1
10132,0,0,0,0,0,0,0,0,0,0
10133,21,21,21,21,21,21,21,21,21,21
10134,0,0,0,0,29,0,0,0,14,6
10135,0,0,0,0,0,0,0,0,0,0
10136,0,18,0,0,27,0,0,0,0,0
10137,12,0,0,0,0,0,0,16,24,0
10138,0,0,0,0,0,0,0,0,0,0
10139,12,12,12,12,12,12,12,12,12,12
10140,0,0,0,0,0,0,0,0,0,0
10141,25,0,0,0,0,0,35,0,0,0
10142,0,0,0,0,0,0,0,27,0,0
10143,10,10,10,10,10,10,10,10,10,10
10144,1,1,1,1,1,1,1,1,1,1
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,10,25,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,15,0,13,0,0,0,0,15,0
10151,31,31,31,31,31,31,31,31,31,31
10152,0,0,0,0,0,0,0,0,0,0
10153,0,8,0,0,14,9,0,0,18,7
10154,9,9,9,9,9,9,9,9,9,9
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
