STATE,STATENAME,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PNUMOCCSNAME,PDAY,PDAYNAME,PMONTH,PMONTHNAME,PHOUR,PHOURNAME,PMINUTE,PMINUTENAME,PHARM_EV,PHARM_EVNAME,PMAN_COLL,PMAN_COLLNAME,PTYPE,PTYPENAME,PHIT_RUN,PHIT_RUNNAME,PREG_STAT,PREG_STATNAME,POWNER,POWNERNAME,PMAKE,PMAKENAME,PMODEL,PMAK_MOD,PBODYTYP,PBODYTYPNAME,PMODYEAR,PMODYEARNAME,PVIN,PVINNAME,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PTRAILERNAME,PMCARR_I1,PMCARR_I1NAME,PMCARR_I2,PMCARR_I2NAME,PMCARR_ID,PMCARR_IDNAME,PGVWR,PGVWRNAME,PV_CONFIG,PV_CONFIGNAME,PCARGTYP,PCARGTYPNAME,PHAZ_INV,PHAZ_INVNAME,PHAZPLAC,PHAZPLACNAME,PHAZ_ID,PHAZ_IDNAME,PHAZ_CNO,PHAZ_CNONAME,PHAZ_REL,PHAZ_RELNAME,PBUS_USE,PBUS_USENAME,PSP_USE,PSP_USENAME,PEM_USE,PEM_USENAME,PUNDERIDE,PUNDERIDENAME,PIMPACT1,PIMPACT1NAME,PVEH_SEV,PVEH_SEVNAME,PTOWED,PTOWEDNAME,PM_HARM,PM_HARMNAME,PVEH_SC1,PVEH_SC1NAME,PVEH_SC2,PVEH_SC2NAME,PFIRE,PFIRENAME,PDEATHS,PTRLR1VIN,PTRLR1VINNAME,PTRLR2VIN,PTRLR2VINNAME,PTRLR3VIN,PTRLR3VINNAME
1,Alabama,10072,2,1,1,01,8,8,2,February,9,9:00am-9:59am,50,50,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,6,Chrysler,54,Chrysler Pacifica (Passenger Cars),6,Station Wagon (excluding van and truck based),2006,2006,2A8GF78496R6,2A8GF78496R6,2,A,8,G,F,7,8,4,9,6,R,6,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10079,2,1,0,None,14,14,2,February,5,5:00am-5:59am,45,45,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,12,Ford,471,Ford Ranger,34,Light Pickup,2001,2001,1FTYR14EX1PA,1FTYR14EX1PA,1,F,T,Y,R,1,4,E,X,1,P,A,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,5,5 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10079,3,1,0,None,14,14,2,February,5,5:00am-5:59am,45,45,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,20,Chevrolet,431,Chevrolet Suburban (from 1950-2003;see 422 for 2004 on),16,"Utility station wagon (includes suburban limousines, Suburban, Travellall, Grand Wagoneer)",1994,1994,1GNEC16K6RJ3,1GNEC16K6RJ3,1,G,N,E,C,1,6,K,6,R,J,3,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,5,5 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10161,2,1,0,None,6,6,4,April,14,2:00pm-2:59pm,30,30,14,Parked Motor Vehicle,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,12,Ford,37,Ford Focus,4,"4-door sedan, hardtop",2006,2006,1FAFP34N76W2,1FAFP34N76W2,1,F,A,F,P,3,4,N,7,6,W,2,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,7,7 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10176,2,1,0,None,26,26,2,February,2,2:00am-2:59am,55,55,14,Parked Motor Vehicle,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,49,Toyota,471,Toyota Pickup,34,Light Pickup,1990,1990,JT4VN13G9L50,JT4VN13G9L50,J,T,4,V,N,1,3,G,9,L,5,0,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,12,12 Clock Point,6,Disabling Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10176,3,1,0,None,26,26,2,February,2,2:00am-2:59am,55,55,14,Parked Motor Vehicle,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,20,Chevrolet,481,"Chevrolet C, K, R, V-series pickup/Silverado",34,Light Pickup,1998,1998,1GCEC14R4WZ1,1GCEC14R4WZ1,1,G,C,E,C,1,4,R,4,W,Z,1,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,11,11 Clock Point,2,Minor Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10232,2,1,0,None,16,16,4,April,3,3:00am-3:59am,59,59,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,99,Unknown,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,20,Chevrolet,481,"Chevrolet C, K, R, V-series pickup/Silverado",34,Light Pickup,1994,1994,999999999999,Unknown,9,9,9,9,9,9,9,9,9,9,9,9,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,98,Not Reported,4,Functional Damage,5,Not Towed,14,Parked Motor Vehicle,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10232,3,1,0,None,16,16,4,April,3,3:00am-3:59am,59,59,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,0,Not Applicable,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,20,Chevrolet,2,"Chevrolet Impala/Caprice (For SS from 2014 on, use 20-021.)",9,Other or Unknown automobile type,2004,2004,999999999999,Unknown,9,9,9,9,9,9,9,9,9,9,9,9,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,98,Not Reported,4,Functional Damage,5,Not Towed,14,Parked Motor Vehicle,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10232,4,1,0,None,16,16,4,April,3,3:00am-3:59am,59,59,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,0,Not Applicable,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,20,Chevrolet,481,"Chevrolet C, K, R, V-series pickup/Silverado",34,Light Pickup,2006,2006,999999999999,Unknown,9,9,9,9,9,9,9,9,9,9,9,9,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,98,Not Reported,4,Functional Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
1,Alabama,10300,2,1,0,None,18,18,5,May,23,11:00pm-11:59pm,45,45,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,22,Pontiac,18,Pontiac Grand AM,9,Other or Unknown automobile type,1999,1999,999999999999,Unknown,9,9,9,9,9,9,9,9,9,9,9,9,0,No Trailing Units,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,No Underride or Override Noted,13,Top,9,Unknown,9,Unknown,12,Motor Vehicle In-Transport,0,None,0,None,0,No or Not Reported,0,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units
