STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,MTM_CRSH,MTM_CRSHNAME
1,Alabama,10010,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10027,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10040,0,1,11,Dash
1,Alabama,10040,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10046,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10053,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10065,0,1,0,None Noted
1,Alabama,10066,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10066,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10078,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10078,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10079,0,1,0,None Noted
1,Alabama,10079,0,2,0,None Noted
1,Alabama,10079,0,3,0,None Noted
1,Alabama,10087,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10089,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10097,0,1,99,Unknown
1,Alabama,10100,0,1,11,Dash
1,Alabama,10100,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10116,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10118,0,1,0,None Noted
1,Alabama,10131,0,1,11,Dash
1,Alabama,10134,0,1,0,None Noted
1,Alabama,10134,0,2,0,None Noted
1,Alabama,10135,0,1,99,Unknown
1,Alabama,10138,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10142,0,1,0,None Noted
1,Alabama,10143,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10147,0,1,0,None Noted
1,Alabama,10147,0,2,0,None Noted
1,Alabama,10152,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10157,0,1,11,Dash
1,Alabama,10157,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10157,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10159,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10159,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10159,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10160,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10165,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10179,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10191,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10208,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10221,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10221,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10226,0,1,99,Unknown
1,Alabama,10245,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10250,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10253,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10253,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10260,0,1,0,None Noted
1,Alabama,10264,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10264,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10268,0,1,11,Dash
1,Alabama,10273,0,1,11,Dash
1,Alabama,10273,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10273,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10277,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10277,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10289,0,1,0,None Noted
1,Alabama,10290,0,1,0,None Noted
