ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,23,9,10,15,0,24,29,18,8,29
10003,0,0,0,12,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,0,0,0,2,0,0,0,0,0
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,15,0,0,0,0,0,0,0,0
10009,20,20,20,20,20,20,20,20,20,20
10010,0,0,0,31,0,0,0,0,0,0
10011,0,0,0,0,15,0,7,0,0,0
10012,15,15,15,15,15,15,15,15,15,15
10013,0,29,25,0,0,0,27,0,0,27
10014,15,15,15,15,15,15,15,15,15,15
10015,0,0,0,0,0,0,0,0,0,0
10016,18,18,18,18,18,18,18,18,18,18
10017,0,0,0,0,0,15,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,8,8,8,8,8,8,8,8,8,8
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,0,0,0,0
10025,0,0,0,0,0,0,0,0,0,0
10026,14,17,27,13,17,23,27,16,13,4
10027,0,0,0,0,0,0,0,0,0,0
10028,0,0,0,0,0,0,0,0,0,0
10029,31,6,9,8,22,12,5,18,22,27
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,18
10037,17,17,17,17,17,17,17,17,17,17
10038,0,0,0,0,0,0,0,0,0,0
10039,0,0,0,0,3,0,0,0,0,0
10040,13,13,13,13,13,13,13,13,13,13
10041,0,0,0,0,0,0,0,0,0,0
10042,0,11,3,0,10,22,10,11,27,0
10043,0,0,0,5,0,0,0,0,0,0
10044,0,0,0,0,0,29,0,0,0,0
10045,20,15,20,17,0,0,19,0,20,10
10046,0,0,0,0,0,0,0,0,0,0
10047,19,19,19,19,19,19,19,19,19,19
10048,6,6,6,6,6,6,6,6,6,6
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,25,13,14,26,13,0,17,25,26,19
10052,0,0,0,0,0,0,0,0,0,0
10053,0,0,22,0,0,13,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,0,0,0
10056,19,13,12,0,0,0,11,22,0,25
10057,0,13,15,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,0,0,0
10062,24,24,24,24,24,24,24,24,24,24
10063,0,0,0,0,0,0,27,0,0,0
10064,20,20,20,20,20,20,20,20,20,20
10065,0,0,0,0,0,0,0,0,0,0
10066,0,0,0,0,0,0,0,0,0,0
10067,10,22,15,14,17,0,22,17,0,16
10068,1,1,1,1,1,1,1,1,1,1
10069,10,10,10,10,10,10,10,10,10,10
10070,0,0,0,0,0,0,0,0,26,0
10071,23,23,23,23,23,23,23,23,23,23
10072,0,0,0,0,0,0,0,0,0,0
10073,0,22,0,0,0,13,0,0,0,0
10074,0,0,0,0,0,0,0,0,0,0
10075,0,0,0,0,0,0,0,0,0,0
10076,0,0,0,0,0,0,0,0,0,0
10077,0,0,0,0,0,0,0,0,19,0
10078,0,0,0,0,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,0,0
10080,8,8,8,8,8,8,8,8,8,8
10081,1,1,1,1,1,1,1,1,1,1
10082,0,0,0,0,0,0,0,0,0,0
