ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,0,0,0,0,0,0,0,0,0,0
10002,1,1,23,9,10,15,0,24,29,18,8,29
10003,1,1,0,0,0,0,0,0,0,0,0,0
10003,2,1,0,0,0,12,0,0,0,0,0,0
10004,1,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,0,0,0,0,2,0,0,0,0,0
10005,2,1,0,0,0,0,0,0,0,0,0,0
10006,0,1,0,0,0,10,0,0,0,0,0,16
10006,1,1,0,0,0,0,0,0,0,0,0,0
10007,0,1,0,0,0,0,0,0,0,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10008,0,1,20,0,35,25,28,4,12,0,15,0
10008,1,1,0,15,0,0,0,0,0,0,0,0
10009,1,1,20,20,20,20,20,20,20,20,20,20
10010,0,1,17,17,17,17,17,17,17,17,17,17
10010,1,1,0,0,0,31,0,0,0,0,0,0
10011,1,1,0,0,0,0,0,0,7,0,0,0
10011,2,1,0,0,0,0,0,0,0,0,0,0
10011,3,1,0,0,0,0,15,0,0,0,0,0
10012,1,1,15,15,15,15,15,15,15,15,15,15
10013,1,1,0,29,0,0,0,0,27,0,0,0
10013,2,1,0,12,0,0,0,0,0,0,0,0
10013,3,1,0,0,25,0,0,0,0,0,0,27
10014,1,1,15,15,15,15,15,15,15,15,15,15
10014,2,1,0,0,0,0,0,0,0,0,0,0
10015,1,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,18,18,18,18,18,18,18,18,18,18
10017,0,1,0,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,0,0,0,15,0,0,0,0
10018,1,1,0,0,0,0,0,0,0,0,0,0
10018,2,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,8,8,8,8,8,8,8,8,8,8
10020,1,1,0,0,0,0,0,0,0,0,0,0
10020,2,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,0,0,0,0,0,0,0,0,0,0
10021,2,1,0,0,0,0,0,0,0,0,0,0
10022,1,1,0,0,0,0,0,0,0,0,0,0
10022,2,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,0,0,0,0,0,0,0,0,0,0
10023,2,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,0,0,0,0,0,0,0
10024,2,1,0,0,0,0,0,0,0,0,0,0
10025,1,1,0,0,0,0,0,0,0,0,0,0
10025,2,1,0,0,0,0,0,0,0,0,0,0
10026,1,1,14,17,27,13,17,23,27,16,13,4
10027,0,1,30,30,30,30,30,30,30,30,30,30
10027,1,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,0,0,0,0,0,0,0,0,0,0
10028,2,1,0,0,0,0,0,0,0,0,0,0
10029,1,1,31,6,9,8,22,12,5,18,22,27
10030,1,1,0,0,0,0,0,0,0,0,0,0
10030,2,1,0,0,0,0,0,0,0,0,0,0
10031,1,1,0,0,0,0,0,0,0,0,0,0
10031,2,1,0,0,0,0,0,0,0,0,0,0
10032,0,1,27,27,27,27,27,27,27,27,27,27
10032,1,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,0,0,0,0,0,0,0,0,0,0
10034,0,1,31,0,0,18,17,20,0,0,3,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10035,1,1,0,0,0,0,0,0,0,0,0,0
10035,2,1,0,0,0,0,0,0,0,0,0,0
10036,1,1,0,0,0,0,0,0,0,0,0,18
10037,1,1,17,17,17,17,17,17,17,17,17,17
10038,1,1,0,0,0,0,0,0,0,0,0,0
10039,1,1,0,0,0,0,0,0,0,0,0,0
10039,2,1,0,0,0,0,3,0,0,0,0,0
10040,1,1,13,13,13,13,13,13,13,13,13,13
10041,1,1,0,0,0,0,0,0,0,0,0,0
10042,1,1,0,11,3,0,10,22,10,11,27,0
10043,1,1,0,0,0,5,0,0,0,0,0,0
10043,2,1,0,0,0,0,0,0,0,0,0,0
10044,1,1,0,0,0,0,0,0,0,0,0,0
10044,2,1,0,0,0,0,0,29,0,0,0,0
10045,1,1,0,15,20,0,0,0,19,0,20,0
10045,2,1,20,0,0,17,0,0,0,0,14,10
10046,1,1,0,0,0,0,0,0,0,0,0,0
10046,2,1,0,0,0,0,0,0,0,0,0,0
10047,1,1,19,19,19,19,19,19,19,19,19,19
10047,2,1,0,0,0,0,0,0,0,0,0,0
10048,1,1,6,6,6,6,6,6,6,6,6,6
10048,2,1,0,0,0,0,0,0,0,0,0,0
10049,1,1,0,0,0,0,0,0,0,0,0,0
10050,1,1,0,0,0,0,0,0,0,0,0,0
10050,2,1,0,0,0,0,0,0,0,0,0,0
10051,1,1,25,13,14,26,13,0,17,25,26,19
10052,1,1,0,0,0,0,0,0,0,0,0,0
10053,1,1,0,0,22,0,0,13,0,0,0,0
10053,2,1,0,0,0,0,0,0,0,0,0,0
10054,1,1,0,0,0,0,0,0,0,0,0,0
10055,0,1,17,17,17,17,17,17,17,17,17,17
10055,1,1,0,0,0,0,0,0,0,0,0,0
10056,1,1,19,13,12,0,0,0,11,22,0,25
10057,1,1,0,13,15,0,0,0,0,0,0,0
10058,1,1,0,0,0,0,0,0,0,0,0,0
10059,1,1,0,0,0,0,0,0,0,0,0,0
10059,2,1,0,0,0,0,0,0,0,0,0,0
10059,3,1,0,0,0,0,0,0,0,0,0,0
10059,4,1,0,0,0,0,0,0,0,0,0,0
10059,5,1,0,0,0,0,0,0,0,0,0,0
10060,1,1,0,0,0,0,0,0,0,0,0,0
10061,0,1,0,0,0,0,0,0,0,0,0,0
10061,1,1,0,0,0,0,0,0,0,0,0,0
10062,1,1,24,24,24,24,24,24,24,24,24,24
10063,1,1,0,0,0,0,0,0,27,0,0,0
10064,1,1,20,20,20,20,20,20,20,20,20,20
10065,1,1,0,0,0,0,0,0,0,0,0,0
10065,2,1,0,0,0,0,0,0,0,0,0,0
10066,1,1,0,0,0,0,0,0,0,0,0,0
10067,1,1,10,22,15,14,17,0,22,17,0,16
10068,1,1,0,0,0,0,0,0,0,0,0,0
10068,2,1,1,1,1,1,1,1,1,1,1,1
10069,1,1,0,0,0,0,0,0,0,0,0,0
10069,2,1,10,10,10,10,10,10,10,10,10,10
10070,1,1,0,0,0,0,0,0,0,0,26,0
10071,1,1,23,23,23,23,23,23,23,23,23,23
10072,1,1,0,0,0,0,0,0,0,0,0,0
10073,1,1,0,22,0,0,0,13,0,0,0,0
10074,1,1,0,0,0,0,0,0,0,0,0,0
10075,1,1,0,0,0,0,0,0,0,0,0,0
10076,1,1,0,0,0,0,0,0,0,0,0,0
10076,2,1,0,0,0,0,0,0,0,0,0,0
10077,0,1,0,0,0,0,0,0,0,0,0,0
10077,1,1,0,0,0,0,0,0,0,0,19,0
10078,1,1,0,0,0,0,0,0,0,0,0,0
10078,2,1,0,0,0,0,0,0,0,0,0,0
10079,1,1,0,0,0,0,0,0,0,0,0,0
10080,0,1,26,26,26,26,26,26,26,26,26,26
10080,2,1,8,8,8,8,8,8,8,8,8,8
10081,1,1,1,1,1,1,1,1,1,1,1,1
10082,1,1,0,0,0,0,0,0,0,0,0,0
10082,2,1,0,0,0,0,0,0,0,0,0,0
10083,1,1,1,1,1,1,1,1,1,1,1,1
